model,uniprot,target_seen,tier,hit,tot,ef_tier
drugclip,P11474,1,全新 <0.35,1,196,0.5102
drugclip,P11474,1,远 0.35–0.5,0,3,0.0000
drugclip,P11802,0,全新 <0.35,211,1227,17.1964
drugclip,P11802,0,远 0.35–0.5,13,118,11.0169
drugclip,P11802,0,近 0.5–0.7,8,50,16.0000
drugclip,P11802,0,极近 ≥0.7,0,7,0.0000
drugclip,P14756,1,全新 <0.35,19,58,32.7586
drugclip,P14756,1,远 0.35–0.5,6,13,46.1538
drugclip,P15428,0,远 0.35–0.5,0,55,0.0000
drugclip,P15428,0,全新 <0.35,2,306,0.6536
drugclip,P18825,0,全新 <0.35,3,117,2.5641
drugclip,P18825,0,远 0.35–0.5,1,8,12.5000
drugclip,P20618,0,全新 <0.35,0,46,0.0000
drugclip,P20618,0,远 0.35–0.5,0,25,0.0000
drugclip,P21554,0,全新 <0.35,0,51,0.0000
drugclip,P21802,1,全新 <0.35,47,464,10.1293
drugclip,P21802,1,远 0.35–0.5,2,16,12.5000
drugclip,P21802,1,近 0.5–0.7,0,4,0.0000
drugclip,P22413,0,全新 <0.35,0,408,0.0000
drugclip,P22413,0,远 0.35–0.5,1,108,0.9259
drugclip,P22413,0,近 0.5–0.7,0,8,0.0000
drugclip,P22455,1,全新 <0.35,7,88,7.9545
drugclip,P22455,1,远 0.35–0.5,5,24,20.8333
drugclip,P22455,1,近 0.5–0.7,1,4,25.0000
drugclip,P22607,0,全新 <0.35,12,368,3.2609
drugclip,P22607,0,远 0.35–0.5,1,13,7.6923
drugclip,P22607,0,近 0.5–0.7,0,3,0.0000
drugclip,P23458,1,全新 <0.35,59,509,11.5914
drugclip,P23458,1,远 0.35–0.5,21,107,19.6262
drugclip,P23458,1,近 0.5–0.7,2,5,40.0000
drugclip,P23946,1,全新 <0.35,0,70,0.0000
drugclip,P24941,1,全新 <0.35,330,1322,24.9622
drugclip,P24941,1,远 0.35–0.5,83,279,29.7491
drugclip,P24941,1,近 0.5–0.7,2,28,7.1429
drugclip,P27338,1,远 0.35–0.5,1,43,2.3256
drugclip,P27338,1,全新 <0.35,2,80,2.5000
drugclip,P27487,1,全新 <0.35,20,86,23.2558
drugclip,P27487,1,远 0.35–0.5,4,29,13.7931
drugclip,P28074,0,远 0.35–0.5,36,115,31.3043
drugclip,P28074,0,全新 <0.35,52,205,25.3659
drugclip,P28074,0,近 0.5–0.7,1,5,20.0000
drugclip,P28335,1,全新 <0.35,16,287,5.5749
drugclip,P28335,1,远 0.35–0.5,2,9,22.2222
drugclip,P28482,1,远 0.35–0.5,37,41,90.2439
drugclip,P28482,1,全新 <0.35,39,624,6.2500
drugclip,P29274,1,全新 <0.35,116,721,16.0888
drugclip,P29274,1,远 0.35–0.5,18,56,32.1429
drugclip,P29275,0,全新 <0.35,38,330,11.5152
drugclip,P29275,0,远 0.35–0.5,2,28,7.1429
drugclip,P30530,1,远 0.35–0.5,3,568,0.5282
drugclip,P30530,1,近 0.5–0.7,0,36,0.0000
drugclip,P30530,1,全新 <0.35,6,323,1.8576
drugclip,P30542,0,全新 <0.35,3,93,3.2258
drugclip,P30542,0,远 0.35–0.5,3,20,15.0000
drugclip,P31391,0,全新 <0.35,0,90,0.0000
drugclip,P31391,0,远 0.35–0.5,0,10,0.0000
drugclip,P31645,1,全新 <0.35,0,104,0.0000
drugclip,P31645,1,远 0.35–0.5,0,5,0.0000
drugclip,P31749,1,近 0.5–0.7,0,123,0.0000
drugclip,P31749,1,远 0.35–0.5,1,85,1.1765
drugclip,P31749,1,全新 <0.35,1,4,25.0000
drugclip,P31751,1,远 0.35–0.5,0,57,0.0000
drugclip,P31751,1,近 0.5–0.7,0,61,0.0000
drugclip,P32245,0,全新 <0.35,1,206,0.4854
drugclip,P34914,1,远 0.35–0.5,3,111,2.7027
drugclip,P34914,1,全新 <0.35,0,59,0.0000
drugclip,P34914,1,近 0.5–0.7,4,27,14.8148
drugclip,P34972,0,全新 <0.35,5,55,9.0909
drugclip,P34972,0,远 0.35–0.5,0,8,0.0000
drugclip,P35968,1,全新 <0.35,15,184,8.1522
drugclip,P35968,1,远 0.35–0.5,105,601,17.4709
drugclip,P35968,1,近 0.5–0.7,78,140,55.7143
drugclip,P36888,0,近 0.5–0.7,0,18,0.0000
drugclip,P36888,0,全新 <0.35,9,349,2.5788
drugclip,P36888,0,远 0.35–0.5,3,139,2.1583
drugclip,P39900,1,全新 <0.35,28,82,34.1463
drugclip,P41146,1,全新 <0.35,7,54,12.9630
drugclip,P41240,0,极近 ≥0.7,0,8,0.0000
drugclip,P41240,0,近 0.5–0.7,0,87,0.0000
drugclip,P41240,0,远 0.35–0.5,0,76,0.0000
drugclip,P41240,0,全新 <0.35,0,3,0.0000
drugclip,P42330,0,远 0.35–0.5,0,32,0.0000
drugclip,P42330,0,全新 <0.35,0,42,0.0000
drugclip,P42330,0,近 0.5–0.7,0,3,0.0000
drugclip,P42345,0,全新 <0.35,0,33,0.0000
drugclip,P42345,0,远 0.35–0.5,0,39,0.0000
drugclip,P42345,0,近 0.5–0.7,0,8,0.0000
drugclip,P43405,1,全新 <0.35,2,23,8.6957
drugclip,P43405,1,远 0.35–0.5,3,70,4.2857
drugclip,P43405,1,近 0.5–0.7,0,10,0.0000
drugclip,P43490,1,远 0.35–0.5,151,268,56.3433
drugclip,P43490,1,全新 <0.35,60,148,40.5405
drugclip,P43490,1,近 0.5–0.7,22,54,40.7407
drugclip,P43490,1,极近 ≥0.7,0,12,0.0000
drugclip,P47205,1,全新 <0.35,44,145,30.3448
drugclip,P48729,1,远 0.35–0.5,0,63,0.0000
drugclip,P48729,1,近 0.5–0.7,0,24,0.0000
drugclip,P48729,1,全新 <0.35,0,47,0.0000
drugclip,P48730,1,近 0.5–0.7,8,32,25.0000
drugclip,P48730,1,远 0.35–0.5,2,61,3.2787
drugclip,P48730,1,全新 <0.35,1,51,1.9608
drugclip,P49759,1,全新 <0.35,0,124,0.0000
drugclip,P49759,1,远 0.35–0.5,0,7,0.0000
drugclip,P49759,1,近 0.5–0.7,0,3,0.0000
drugclip,P49760,1,远 0.35–0.5,0,92,0.0000
drugclip,P49760,1,全新 <0.35,0,157,0.0000
drugclip,P49760,1,近 0.5–0.7,0,8,0.0000
drugclip,P49841,1,远 0.35–0.5,27,115,23.4783
drugclip,P49841,1,全新 <0.35,79,1278,6.1815
drugclip,P49841,1,近 0.5–0.7,5,13,38.4615
drugclip,P50053,1,全新 <0.35,72,911,7.9034
drugclip,P50053,1,远 0.35–0.5,6,32,18.7500
drugclip,P50406,0,全新 <0.35,2,42,4.7619
