layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L2,Q9Y5Z0,317,15850,51.0000,19.9839,0.9999,1.0000,1.0000
L3,C7FF05,92,4600,51.0000,19.0979,0.9678,0.9820,0.9403
L3,O14638,91,4550,51.0000,19.6996,0.9794,0.9980,0.9901
L3,O94921,100,5000,51.0000,20.0000,0.9998,1.0000,1.0000
L3,P01111,469,23450,51.0000,19.9992,0.9960,1.0000,0.9996
L3,P05622,378,18900,50.4715,18.5166,0.9487,0.9681,0.9072
L3,P08519,75,3750,51.0000,19.9219,0.9999,1.0000,1.0000
L3,P0DTC1,855,42750,51.0000,19.9464,0.9986,0.9993,0.9975
L3,P28347,238,11900,51.0000,19.9127,0.9921,0.9997,0.9941
L3,P30405,78,3900,51.0000,19.7337,0.9941,0.9978,0.9885
L3,P37288,110,5500,51.0000,19.7829,0.9949,0.9945,0.9908
L3,P43220,129,6450,51.0000,19.8419,0.9965,0.9944,0.9921
L3,P56528,103,5150,51.0000,19.9734,0.9927,1.0000,1.0000
L3,P97821,83,4150,51.0000,19.9670,0.9933,1.0000,1.0000
L3,Q15562,180,9000,51.0000,19.8889,0.9923,0.9951,0.9945
L3,Q15878,151,7550,51.0000,19.9508,0.9997,1.0000,1.0000
L3,Q92830,159,7950,51.0000,19.9729,0.9988,1.0000,1.0000
L3,Q96LB1,69,3450,51.0000,19.9943,0.9970,1.0000,1.0000
L3,Q99594,102,5100,51.0000,19.9310,0.9977,1.0000,0.9999
L3,Q9NP56,71,3550,51.0000,19.3352,0.9879,0.9945,0.9754
L4,J9SQF3,650,32500,51.0000,19.9940,0.9823,1.0000,1.0000
L4,O00187,338,16900,51.0000,19.9977,0.9999,1.0000,1.0000
L4,O00411,227,11350,51.0000,19.9067,0.9960,0.9956,0.9957
L4,O00443,99,4950,51.0000,19.9565,0.9999,1.0000,1.0000
L4,O14578,152,7600,51.0000,19.8479,0.9950,0.9939,0.9936
L4,O14874,106,5300,51.0000,19.7601,0.9960,0.9909,0.9908
L4,O42275,118,5900,51.0000,19.4850,0.9616,0.9888,0.9419
