benchmark,target,n_mol,n_active,ef1,ef1_ceiling,pct_of_ceiling,bedroc,auroc
DEKOIS 2.0,PARP-1,1237,40,28.5462,30.9250,0.9231,0.7485,0.9657
DEKOIS 2.0,PDE4B,1240,40,31.0000,31.0000,1.0000,0.9976,0.9999
DEKOIS 2.0,PDE5,1240,40,31.0000,31.0000,1.0000,0.9784,0.9981
DEKOIS 2.0,PDK1,1240,40,28.6154,31.0000,0.9231,0.9585,0.9910
DEKOIS 2.0,PI3KG,1240,40,31.0000,31.0000,1.0000,0.9170,0.8861
DEKOIS 2.0,PIM-1,1239,40,30.9750,30.9750,1.0000,0.9065,0.9410
DEKOIS 2.0,PIM-2,1237,40,28.5462,30.9250,0.9231,0.8773,0.9398
DEKOIS 2.0,PNP,1236,40,30.9000,30.9000,1.0000,0.9944,0.9997
DEKOIS 2.0,PPARA,1240,40,31.0000,31.0000,1.0000,0.9719,0.9874
DEKOIS 2.0,PPARG,1240,40,31.0000,31.0000,1.0000,0.8770,0.9142
DEKOIS 2.0,PR,1239,40,30.9750,30.9750,1.0000,0.9688,0.9672
DEKOIS 2.0,PRKCQ,1239,40,30.9750,30.9750,1.0000,0.9879,0.9720
DEKOIS 2.0,PYGL-IN,1240,40,31.0000,31.0000,1.0000,0.9996,1.0000
DEKOIS 2.0,PYGL-OUT,1240,40,31.0000,31.0000,1.0000,0.9996,1.0000
DEKOIS 2.0,QPCT,1240,40,31.0000,31.0000,1.0000,0.9968,0.9998
DEKOIS 2.0,ROCK-1,1240,40,31.0000,31.0000,1.0000,0.9589,0.9683
DEKOIS 2.0,RXR,1239,40,30.9750,30.9750,1.0000,0.9996,1.0000
DEKOIS 2.0,SARS-HCOV,1207,39,30.9487,30.9487,1.0000,0.9285,0.9398
DEKOIS 2.0,SIRT2,1238,40,30.9500,30.9500,1.0000,0.9329,0.9594
DEKOIS 2.0,SRC,1240,40,23.8462,31.0000,0.7692,0.7605,0.9392
DEKOIS 2.0,THROMBIN,1240,40,28.6154,31.0000,0.9231,0.9077,0.9407
DEKOIS 2.0,TIE2,1240,40,26.2308,31.0000,0.8462,0.7798,0.9405
DEKOIS 2.0,TK,1238,40,28.5692,30.9500,0.9231,0.9488,0.9985
DEKOIS 2.0,TP,1236,40,30.9000,30.9000,1.0000,0.9926,0.9979
DEKOIS 2.0,TPA,1238,40,30.9500,30.9500,1.0000,0.9783,0.9924
DEKOIS 2.0,TS,1237,40,30.9250,30.9250,1.0000,0.9942,0.9970
DEKOIS 2.0,UPA,1239,40,30.9750,30.9750,1.0000,0.9920,0.9987
DEKOIS 2.0,VEGFR1,1239,40,30.9750,30.9750,1.0000,0.7928,0.9123
DEKOIS 2.0,VEGFR2,1240,40,21.4615,31.0000,0.6923,0.6778,0.9160
LIT-PCBA,PPARG,5237,27,36.5968,100.0000,0.3660,0.3507,0.7414
LIT-PCBA,VDR,356123,882,39.2205,100.0000,0.3922,0.3841,0.7925
LIT-PCBA,ALDH1,144976,7166,9.9571,20.2311,0.4922,0.4269,0.7409
LIT-PCBA,ESR1_ago,5595,13,0.0000,100.0000,0.0000,0.0001,0.5975
LIT-PCBA,FEN1,355678,369,49.0485,100.0000,0.4905,0.4640,0.8524
LIT-PCBA,GBA,296037,166,59.6259,100.0000,0.5963,0.5468,0.8355
LIT-PCBA,TP53,4247,79,37.5066,53.7595,0.6977,0.6297,0.7459
LIT-PCBA,PKM2,246003,546,40.4321,100.0000,0.4043,0.3839,0.8298
LIT-PCBA,ESR1_ant,5049,102,26.2059,49.5000,0.5294,0.4294,0.7125
LIT-PCBA,MTORC1,33069,97,21.6292,100.0000,0.2163,0.2537,0.7330
LIT-PCBA,OPRK1,269769,24,66.6590,100.0000,0.6666,0.6604,0.8730
LIT-PCBA,ADRB2,312418,17,35.2849,100.0000,0.3528,0.3456,0.6467
LIT-PCBA,IDH1,361997,39,38.4612,100.0000,0.3846,0.3434,0.7167
LIT-PCBA,KAT2A,348606,194,26.2816,100.0000,0.2628,0.2279,0.6655
LIT-PCBA,MAPK1,62808,308,11.3470,100.0000,0.1135,0.1396,0.7002
