baseline,layer,uniprot,n_actives,spearman
learned_ridge,L2,Q9HBH9,104,-0.0342
learned_ridge,L2,Q9NSY1,68,0.2745
learned_ridge,L2,Q9NWZ3,1458,0.0755
learned_ridge,L2,Q9NYV4,282,0.1457
learned_ridge,L2,Q9P2K8,86,0.4679
learned_ridge,L2,Q9UBN7,1401,-0.1048
learned_ridge,L2,Q9UGN5,164,0.0589
learned_ridge,L2,Q9UNA0,80,-0.3432
learned_ridge,L2,Q9Y251,53,-0.6755
learned_ridge,L2,Q9Y5Y9,632,0.0599
learned_ridge,L2,Q9Y5Z0,317,0.0579
learned_ridge,L3,C7FF05,92,0.0943
learned_ridge,L3,O14638,91,0.3414
learned_ridge,L3,O94921,100,-0.0739
learned_ridge,L3,P01111,469,-0.0158
learned_ridge,L3,P05622,378,0.0200
learned_ridge,L3,P08519,75,-0.1189
learned_ridge,L3,P0DTC1,855,0.3454
learned_ridge,L3,P28347,238,0.2735
learned_ridge,L3,P30405,78,0.0770
learned_ridge,L3,P37288,110,-0.0541
learned_ridge,L3,P43220,129,0.4513
learned_ridge,L3,P56528,103,0.2953
learned_ridge,L3,P97821,83,-0.2391
learned_ridge,L3,Q15562,180,0.0844
learned_ridge,L3,Q15878,151,0.0029
learned_ridge,L3,Q92830,159,0.0622
learned_ridge,L3,Q96LB1,69,0.0079
learned_ridge,L3,Q99594,102,0.3590
learned_ridge,L3,Q9NP56,71,0.0840
learned_ridge,L4,O00187,338,0.3621
learned_ridge,L4,O00411,227,0.1400
learned_ridge,L4,O00443,99,-0.0176
learned_ridge,L4,O14578,152,-0.0447
learned_ridge,L4,O14874,106,-0.3576
learned_ridge,L4,O42275,118,-0.2263
learned_ridge,L4,O60427,236,0.0761
learned_ridge,L4,O75747,229,-0.0385
learned_ridge,L4,O75909,169,-0.0911
learned_ridge,L4,O88634,66,-0.0898
learned_ridge,L4,O94782,406,-0.0953
learned_ridge,L4,O95835,73,0.3802
learned_ridge,L4,P08546,82,0.1513
learned_ridge,L4,P09246,80,0.1679
learned_ridge,L4,P09871,421,0.0205
learned_ridge,L4,P0AES4,133,-0.0493
learned_ridge,L4,P11166,69,0.1352
learned_ridge,L4,P14060,74,0.0251
learned_ridge,L4,P14416,320,-0.0063
learned_ridge,L4,P16788,454,0.2309
learned_ridge,L4,P17927,69,-0.2302
learned_ridge,L4,P17948,94,0.1682
learned_ridge,L4,P19525,181,0.2246
learned_ridge,L4,P20648,112,-0.2094
learned_ridge,L4,P21917,65,0.1119
learned_ridge,L4,P22001,351,0.5105
learned_ridge,L4,P24864,68,0.0747
learned_ridge,L4,P25929,102,0.5121
learned_ridge,L4,P28223,1200,0.0971
learned_ridge,L4,P30990,76,0.0411
learned_ridge,L4,P34969,101,0.2036
learned_ridge,L4,P35462,109,0.4010
learned_ridge,L4,P37840,115,0.1761
learned_ridge,L4,P50052,214,0.2602
learned_ridge,L4,P52429,81,-0.0515
learned_ridge,L4,P54278,85,0.6815
learned_ridge,L4,P57059,84,0.1650
learned_ridge,L4,Q03164,268,0.3262
learned_ridge,L4,Q08211,707,0.0982
learned_ridge,L4,Q08828,68,-0.2484
learned_ridge,L4,Q10469,171,-0.2100
learned_ridge,L4,Q13191,1232,0.3874
learned_ridge,L4,Q13233,58,-0.3357
learned_ridge,L4,Q13535,477,0.0885
learned_ridge,L4,Q13574,576,-0.0294
learned_ridge,L4,Q13724,529,0.6198
learned_ridge,L4,Q15078,52,0.3342
learned_ridge,L4,Q16236,86,0.3593
learned_ridge,L4,Q16739,309,0.5127
learned_ridge,L4,Q16832,326,-0.3941
learned_ridge,L4,Q5JRX3,57,-0.3846
learned_ridge,L4,Q6SZW1,243,-0.6666
learned_ridge,L4,Q7Z3E1,574,-0.0251
learned_ridge,L4,Q7Z5P4,894,-0.0332
learned_ridge,L4,Q86SK9,54,-0.0270
learned_ridge,L4,Q86UE8,68,0.1030
learned_ridge,L4,Q8N1C3,201,0.4490
learned_ridge,L4,Q8WYB5,192,0.1710
learned_ridge,L4,Q92551,192,0.0093
learned_ridge,L4,Q92794,859,-0.1570
learned_ridge,L4,Q96DB2,71,0.2118
learned_ridge,L4,Q96GX5,258,0.1121
learned_ridge,L4,Q96KP4,110,0.0788
learned_ridge,L4,Q9BQA1,62,0.3803
learned_ridge,L4,Q9H0K1,109,0.4189
learned_ridge,L4,Q9HCE5,193,-0.0273
learned_ridge,L4,Q9NPH5,96,-0.1236
learned_ridge,L4,Q9NR19,142,-0.0567
learned_ridge,L4,Q9UBM7,299,0.0210
learned_ridge,L4,Q9UHH9,91,0.1468
learned_ridge,L4,Q9UKP4,289,0.3480
learned_ridge,L4,Q9ULC5,179,0.0979
learned_ridge,L4,Q9ULV8,569,0.5144
learned_ridge,L4,Q9Y2I7,394,0.1746
