model,layer,uniprot,n_molecules,order_used
hypseek_rk,L2,P37023,816,lmdb
hypseek_rk,L2,P39900,4225,lmdb
hypseek_rk,L2,P40261,663,lmdb
hypseek_rk,L2,P40337,1119,lmdb
hypseek_rk,L2,P40763,2548,lmdb
hypseek_rk,L2,P41143,4686,FAIL
hypseek_rk,L2,P41145,26801,FAIL
hypseek_rk,L2,P41146,2753,lmdb
hypseek_rk,L2,P41182,20687,lmdb
hypseek_rk,L2,P41240,8869,lmdb
hypseek_rk,L2,P41594,1325,lmdb
hypseek_rk,L2,P41595,2494,lmdb
hypseek_rk,L2,P42330,3922,lmdb
hypseek_rk,L2,P42336,43501,lmdb
hypseek_rk,L2,P42345,4076,lmdb
hypseek_rk,L2,P43116,1629,FAIL
hypseek_rk,L2,P43166,1987,lmdb
hypseek_rk,L2,P43235,561,lmdb
hypseek_rk,L2,P43405,5299,lmdb
hypseek_rk,L2,P43490,24555,lmdb
hypseek_rk,L2,P43681,561,FAIL
hypseek_rk,L2,P45452,1782,lmdb
hypseek_rk,L2,P45983,1426,lmdb
hypseek_rk,L2,P45984,2752,lmdb
hypseek_rk,L2,P47205,7491,lmdb
hypseek_rk,L2,P47989,714,lmdb
hypseek_rk,L2,P48039,612,lmdb
hypseek_rk,L2,P48729,6825,lmdb
hypseek_rk,L2,P48730,7335,lmdb
hypseek_rk,L2,P48735,1474,lmdb
hypseek_rk,L2,P48736,11356,lmdb
hypseek_rk,L2,P49137,662,lmdb
hypseek_rk,L2,P49286,663,lmdb
hypseek_rk,L2,P49327,559,lmdb
hypseek_rk,L2,P49336,1783,lmdb
hypseek_rk,L2,P49674,663,lmdb
hypseek_rk,L2,P49759,6828,lmdb
hypseek_rk,L2,P49760,13097,lmdb
hypseek_rk,L2,P49761,7026,lmdb
hypseek_rk,L2,P49840,80490,FAIL
hypseek_rk,L2,P49841,71681,lmdb
hypseek_rk,L2,P50053,48095,lmdb
hypseek_rk,L2,P50406,2851,lmdb
hypseek_rk,L2,P50613,8912,lmdb
hypseek_rk,L2,P50750,9773,FAIL
hypseek_rk,L2,P51449,2444,lmdb
hypseek_rk,L2,P51531,4686,lmdb
